Policy_Name,How_to
Code of Conduct,Review the employee handbook and sign acknowledgment form.
Leave Policy,Submit leave requests through the HR portal.
Remote Work Policy,Submit remote work requests to your manager(for now) 2 and follow IT protocols.
Dress Code Policy,Refer to the policy PDF on the HR portal.
Employee Benefits,Check benefits summary on the HR dashboard.
Password Reset Policy,"Go to the company Abdullah page, click 'Forgot Password', and follow the instructions sent to your email."
Working Hours Policy,Use time-tracking software and follow shift schedule guidelines.
Anti-Harassment Policy,Report issues to HR or via the anonymous reporting tool.
Performance Review Policy,Schedule reviews via the HR system and prepare using the self-assessment form.
Training and Development,Register for training through the LMS and get manager approval.
